agency,sector_no,sector_name,nbhd_no,nbhd_name,rent,charges,provisions,fees,deposit,energy_rating,gas_rating,area,rooms,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bedrooms,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,heating,parking,cellar,pool,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,view,caretaker,reduced_mobility,metro,tram,bus,logrent
zaf immobilier,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,590,CC,55.0,539.0,566.5,227.0,10.0,42.03,2,0,0,1,0,0,0,1,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,1,3.0,0,0,0,0,0,0,0,0,1,0,0,6.3818160174060985
eurim,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,1650,CC,300.0,1105.0,1350.0,184.5,13.0,85.0,3,0,0,0,0,0,0,2,0,0,1.0,0,0,0,0,0,0,collective_gas,0,0,0,8.0,0,1,1,1,0,1,0,0,0,0,0,7.409136443920128
eurim,sector1,TOULOUSE CENTRE,n1_2,Amidonniers - Compans Caffarelli,1351,CC,80.0,1179.1,1271.22,148.0,7.0,90.7,4,1,0,1,33,0,0,3,1,1,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,1,0,0,1,0,0,1,0,0,7.20934025660291
sporting immobilier,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,545,CC,60.0,559.5,563.735,61.0,14.0,42.0,2,1,0,1,0,1,0,1,0,1,1.0,1,1,0,0,0,0,gas,0,0,0,1.0,0,0,1,0,1,0,0,0,0,0,0,6.302618975744905
cdc habitat,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,685,CC,75.0,576.61,580.0,66.0,15.0,66.0,3,0,0,0,0,0,0,2,1,0,1.0,0,1,0,0,0,1,collective_gas,1,0,0,1.0,0,0,1,0,0,0,0,0,1,0,1,6.530877627725885
eurim,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,1465,CC,65.0,936.0,1400.0,184.5,13.0,72.0,3,1,0,1,35,0,0,2,0,1,1.0,1,0,0,1,1,1,individual_gas,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,7.290292882446597
immobiliare,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,750,CC,60.0,745.2,690.0,72.5,9.0,71.0,4,0,0,1,26,0,0,0,1,0,1.0,0,1,0,0,0,1,individual,2,0,0,2.0,0,0,1,1,1,0,0,1,0,0,1,6.621405651764134
zaf immobilier,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,457,CC,50.0,520.0,591.0,159.0,6.0,20.0,1,0,0,1,0,0,0,0,0,0,1.0,0,0,1,0,0,1,individual_electrical,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,6.126869184114185
barthas immobilier,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,790,CC,60.0,538.98,610.0,147.0,12.0,75.0,3,0,0,0,0,0,0,2,0,0,1.0,1,1,0,0,0,1,collective_gas,0,0,0,5.0,1,0,0,0,0,0,0,0,1,0,0,6.673297967767654
stlimmo,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,871,CC,67.5,903.0,784.0,59.0,13.0,81.51,4,0,0,0,0,1,0,3,1,1,1.0,0,0,2,0,0,1,individual_gas,2,0,0,2.0,0,0,0,1,0,0,0,1,0,0,1,6.77078942390898
square habitat,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,401,CC,55.0,337.48,346.0,36.0,10.0,25.96,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,collective_gas,0,0,0,2.0,0,0,1,0,0,0,1,1,0,0,0,5.996452088619021
raoux immobilier,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,490,CC,50.0,264.0,440.0,393.0,92.0,46.0,2,1,0,0,0,0,0,1,0,1,1.0,0,0,0,0,0,1,gas,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,6.19644412779452
tagerim gestion,sector2,TOULOUSE RIVE GAUCHE,n2_3,Fontaine-Lestang - Arènes -Bagatelle - Papus - Tabar - Bordelongue - Mermoz - La Faourette,532,CC,80.0,0.0,545.86,37.0,8.0,35.64,2,0,0,0,18,0,0,1,0,1,1.0,0,1,0,1,0,0,collective_gas,1,0,1,2.0,0,0,1,0,0,0,0,0,1,0,0,6.278521424165844
immosky,sector2,TOULOUSE RIVE GAUCHE,n2_3,Fontaine-Lestang - Arènes -Bagatelle - Papus - Tabar - Bordelongue - Mermoz - La Faourette,525,CC,80.0,0.0,545.86,219.0,9.0,44.0,2,0,0,1,0,1,0,1,1,0,1.0,0,0,1,0,0,1,individual_electrical,1,0,0,3.0,0,0,0,1,0,0,0,0,1,0,0,6.26530121273771
immo de france midi-pyrenees,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,468,CC,50.0,456.0,592.0,120.0,30.0,25.0,1,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,1,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,1,1,0,6.150602768446279
orpi saint georges,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,690,CC,50.0,442.0,630.0,184.5,13.0,42.0,2,1,0,1,0,0,0,1,1,0,1.0,0,0,0,0,0,1,individual,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,6.53813982376767
immosky,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,650,CC,55.0,539.0,566.5,128.0,4.0,31.0,1,0,0,0,0,1,1,1,1,0,1.0,0,0,0,0,0,1,individual,0,0,0,2.0,1,0,1,1,0,0,0,0,0,0,0,6.478509642208569
immo de france midi-pyrenees,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,820,CC,55.0,539.0,566.5,102.0,3.0,71.0,3,1,0,0,0,1,0,2,1,0,1.0,0,0,1,0,0,1,individual_electrical,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,6.710523109452428
None,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,625,CC,60.0,518.67,565.0,189.0,8.0,47.0,2,0,0,1,22,0,0,1,0,1,1.0,0,1,0,0,0,1,individual_electrical,1,0,0,1.0,0,0,1,1,0,0,0,0,0,0,0,6.439350371100098
le service immobilier,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,420,CC,35.0,277.81,385.0,215.0,10.0,21.37,1,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,6.042632833682381
immosky,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,600,CC,75.0,576.61,580.0,165.0,38.0,34.0,1,0,0,0,0,1,1,0,1,0,1.0,0,0,0,0,0,1,individual_gas,1,0,0,2.0,1,0,0,1,0,0,0,0,0,0,0,6.398594934535208
None,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,577,CC,43.0,490.57,517.0,264.0,11.0,39.0,2,0,0,0,18,1,0,1,1,0,1.0,0,0,0,0,0,1,individual_electrical,1,0,0,1.0,0,0,1,1,0,0,0,0,0,0,0,6.359573868672378
amplitude immobilier,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,700,CC,55.0,507.78,576.5,161.5,11.0,60.83,3,1,0,0,0,0,0,2,1,0,1.0,1,1,0,0,0,1,individual,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,6.55250788703459
immosky,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,837,CC,60.0,559.5,563.735,50.0,11.0,77.0,4,0,0,1,0,0,0,3,1,0,1.0,0,0,1,0,0,1,individual_gas,0,0,0,2.0,0,0,0,0,1,0,0,0,0,0,0,6.731018100482083
None,sector1,TOULOUSE CENTRE,n1_2,Amidonniers - Compans Caffarelli,703,CC,43.0,606.18,660.32,241.0,12.0,50.0,2,0,0,0,20,1,1,1,1,0,1.0,0,1,0,0,0,0,individual_electrical,1,0,0,1.0,0,0,1,1,0,0,0,0,1,0,0,6.556778356158042
cabinet claude sanchez,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,677,CC,75.0,576.61,580.0,20.0,5.0,57.0,3,1,0,1,0,0,0,2,1,0,1.0,1,1,0,0,0,1,individual_gas,0,0,0,6.0,0,0,1,1,1,0,0,0,1,0,1,6.519147287940395
soprim,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,692,CC,75.0,576.61,580.0,174.0,7.0,65.0,3,0,0,1,36,0,0,2,1,0,1.0,1,1,0,0,0,1,individual_electrical,1,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,6.541029999189903
square habitat,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,759,CC,60.0,821.64,699.0,144.0,7.0,65.77,3,0,0,0,0,1,0,2,1,0,1.0,1,1,0,0,0,1,individual_electrical,0,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,6.633318433280377
cabinet claude sanchez,sector1,TOULOUSE CENTRE,n1_2,Amidonniers - Compans Caffarelli,451,CC,43.0,338.65,579.0,277.0,12.0,25.0,1,1,0,0,14,0,0,0,1,0,1.0,0,0,0,0,0,1,individual_electrical,0,0,0,4.0,0,0,1,1,0,1,0,0,0,0,0,6.113682179832232
elyade gerance,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,670,CC,70.0,670.0,600.0,136.0,5.0,54.81,3,1,0,1,0,0,0,2,1,0,1.0,1,0,1,0,0,1,individual_electrical,0,0,0,3.0,0,0,0,1,0,0,1,0,1,0,0,6.508769136971682
sogem,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,680,CC,90.0,0.0,590.0,147.0,5.0,61.65,3,1,0,1,0,0,0,2,1,0,1.0,0,0,1,0,0,1,individual_electrical,1,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,6.523562306149512
elyade gerance,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,674,CC,140.0,674.0,534.0,46.0,11.0,57.42,3,1,0,1,0,0,0,2,1,1,1.0,1,1,0,0,0,1,collective_gas,1,0,0,2.0,0,0,0,1,0,0,1,0,1,0,0,6.51471269087253
adl immobilier,sector4,TOULOUSE EST,n4_1,Lapujade - Bonnefoy - Périole - Marengo - La Colonne,780,CC,40.0,400.39,505.0,140.0,32.0,73.15,3,1,0,1,0,0,0,2,0,1,1.0,1,1,0,0,0,1,collective_gas,1,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,6.660575149839686
soprim,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,888,CC,55.0,539.0,566.5,53.0,12.0,74.0,3,1,1,1,30,0,0,2,1,1,1.0,0,0,1,0,0,1,collective_gas,1,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.790097235513905
sogem,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,890,CC,90.0,900.0,800.0,206.5,12.0,80.0,3,1,0,1,0,0,0,2,0,1,1.0,0,1,0,0,0,1,individual_gas,1,0,0,5.0,0,0,1,0,0,0,0,0,0,0,0,6.792344427470809
pure gestion locative,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,580,CC,130.0,405.0,450.0,35.0,8.0,40.7,2,1,0,1,18,0,0,1,0,1,1.0,1,1,0,0,0,1,collective_gas,0,0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,6.364750756851911
elyade gerance,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,540,CC,50.0,512.59,490.0,63.0,13.0,39.43,2,1,0,0,0,1,0,1,1,1,1.0,0,0,0,0,0,0,individual_gas,1,0,0,1.0,0,0,1,0,0,0,1,0,0,0,1,6.293419278846481
None,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,505,CC,70.0,432.22,630.0,74.0,14.0,33.25,1,0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,individual,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,6.226536669287466
None,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,547,CC,50.0,591.5,497.0,63.0,14.0,45.5,2,1,0,1,0,1,0,3,0,1,1.0,1,0,1,0,0,0,gas,0,0,0,2.0,0,0,1,1,0,0,0,0,0,0,0,6.306275286948016
adl immobilier,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,345,CC,50.0,442.0,630.0,665.0,41.0,11.92,1,0,0,0,0,1,0,0,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,5.846438775057725
sng extensia,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,654,CC,60.0,559.5,563.735,49.0,11.0,64.75,3,1,0,1,29,1,0,2,1,0,1.0,1,1,0,0,0,1,individual_gas,1,0,0,1.0,0,0,1,0,0,0,0,0,0,0,1,6.484635235635252
None,sector2,TOULOUSE RIVE GAUCHE,n2_4,Casselardit - Fontaine-Bayonne - Cartoucherie,715,CC,40.0,605.0,623.0,128.0,30.0,55.0,3,0,0,0,0,0,1,2,1,0,1.0,1,0,0,0,0,0,individual_electrical,0,0,0,5.0,0,1,0,0,0,0,0,0,0,0,0,6.573680166960646
sng extensia,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,525,CC,60.0,559.5,563.735,50.0,9.0,43.5,2,0,0,1,23,1,0,1,1,0,1.0,0,1,0,0,0,1,individual_gas,1,0,0,3.0,0,0,1,0,0,0,0,0,0,0,0,6.26530121273771
sporting immobilier,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,568,CC,60.0,559.5,563.735,40.0,9.0,44.0,2,1,0,1,0,0,0,1,0,1,1.0,0,1,1,0,0,1,gas,0,0,0,1.0,0,0,1,0,1,0,0,1,0,0,0,6.343880434126331
immo de france midi-pyrenees,sector6,TOULOUSE OUEST,n6_3,Mirail- Université - Reynerie - Bellefontaine,580,CC,53.0,390.0,539.0,165.0,7.0,51.0,2,0,0,1,0,1,1,1,1,1,1.0,0,0,1,0,0,0,individual_electrical,0,0,0,3.0,0,0,1,0,0,0,0,1,0,0,0,6.364750756851911
auditia transaction - agent commercial,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,553,CC,67.5,579.84,650.0,63.0,13.0,43.01,2,0,0,1,0,1,0,1,1,0,1.0,0,0,1,0,0,1,gas,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,6.317164686747284
None,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,645,CC,72.0,839.02,573.0,245.0,57.0,64.54,3,1,0,1,0,1,0,2,1,0,1.0,1,1,0,0,0,0,individual_gas,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,1,6.470799503782602
None,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,666,CC,108.0,703.3,558.0,139.0,19.0,54.1,3,0,0,1,0,0,0,2,1,0,1.0,1,1,1,0,0,1,central,0,0,0,1.0,0,0,1,0,0,0,0,1,0,0,0,6.502790045915623
None,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,720,CC,70.0,500.0,650.0,191.0,44.0,66.74,4,0,0,1,0,0,0,3,1,1,1.0,1,1,0,0,0,1,individual_gas,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,6.580639137284949
None,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,580,+CH,0.0,441.84,526.0,161.5,11.0,42.41,2,0,0,0,0,1,0,1,0,1,1.0,0,0,0,0,0,0,individual_gas,1,1,0,2.0,0,0,1,0,0,0,0,0,0,0,0,6.364750756851911
None,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,810,CC,90.0,819.0,720.0,304.0,15.0,63.0,3,1,0,1,0,1,0,2,1,0,1.0,1,1,0,0,0,0,individual_electrical,0,0,1,2.0,0,0,0,1,0,0,0,0,0,0,0,6.698268054115413
capitole gestion,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,660,CC,60.0,540.0,600.0,62.0,12.0,60.35,3,0,0,1,0,1,0,2,1,0,1.0,1,0,1,0,0,1,individual_gas,1,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,6.493753839851686
None,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,786,CC,75.0,597.24,711.0,138.0,4.0,71.0,3,1,0,1,0,0,1,2,1,0,1.0,1,5,0,0,0,1,individual_electrical,1,0,0,5.0,0,0,1,0,1,0,0,0,1,0,0,6.668228248417403
nestenn by solvimo,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,870,CC,146.0,0.0,724.0,146.0,6.0,80.74,4,1,0,1,0,0,1,3,1,1,1.0,0,0,1,0,0,1,individual_electrical,2,0,0,3.0,0,0,1,1,1,0,0,0,1,0,1,6.769641976852503
l'agence blue,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,980,CC,95.0,649.0,885.0,184.5,13.0,82.0,4,0,0,0,0,0,0,3,1,0,1.0,1,1,0,0,0,0,individual_gas,0,0,0,1.0,0,0,1,1,1,0,0,0,1,0,0,6.8885724595653635
canavate immobilier,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,1220,CC,50.0,442.0,630.0,188.0,28.0,45.0,2,1,0,1,0,0,0,1,0,0,1.0,0,0,0,0,0,1,collective_gas,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,7.107425474110705
None,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,779,CC,72.0,898.93,707.0,222.0,11.0,69.15,3,1,0,1,0,0,0,2,0,0,1.0,0,0,1,0,0,1,individual_electrical,1,0,0,2.0,0,0,0,0,1,0,0,0,0,0,1,6.659293919683638
None,sector6,TOULOUSE OUEST,n6_4,Saint Simon - Lafourguette - Oncopole,675,CC,65.0,586.0,610.0,59.0,10.0,61.71,3,1,0,1,24,1,1,2,1,0,1.0,1,0,1,1,0,1,individual_gas,1,0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,6.516193076042964
sng extensia,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,520,CC,60.0,559.5,563.735,50.0,5.0,40.05,2,0,0,1,0,1,0,1,0,1,1.0,0,1,0,0,0,1,individual_gas,1,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,6.255750041753367
saint-pierre immobilier,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,680,CC,70.0,670.0,610.0,114.0,4.0,56.0,3,1,0,1,27,1,1,2,1,0,1.0,0,1,0,0,0,1,individual_electrical,2,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.523562306149512
None,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,960,CC,0.0,0.0,630.0,156.0,5.0,55.0,3,0,1,0,26,0,1,2,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,1.0,1,1,0,1,0,0,0,0,1,0,1,6.8679744089702925
None,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,700,CC,75.0,700.0,625.0,49.0,8.0,63.0,3,1,1,1,0,0,1,2,1,0,2.0,1,0,1,1,0,1,individual_gas,1,0,0,2.0,0,0,0,1,0,1,0,0,0,0,0,6.55250788703459
immo de france midi-pyrenees,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,553,CC,50.0,456.0,592.0,135.0,31.0,34.0,2,1,0,0,0,1,0,1,0,1,1.0,0,1,0,0,0,0,collective_gas,0,1,0,5.0,0,0,1,0,0,0,0,0,0,0,1,6.317164686747284
immo de france midi-pyrenees,sector2,TOULOUSE RIVE GAUCHE,n2_3,Fontaine-Lestang - Arènes -Bagatelle - Papus - Tabar - Bordelongue - Mermoz - La Faourette,839,CC,80.0,0.0,545.86,42.0,10.0,81.0,3,1,0,1,0,0,0,2,1,1,1.0,0,0,1,0,0,1,collective_gas,0,1,0,2.0,0,0,1,0,0,0,0,1,1,0,0,6.733401891837359
None,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,492,CC,30.0,314.0,462.0,202.0,10.0,24.19,1,1,0,0,0,1,0,0,0,1,1.0,0,0,1,0,0,1,individual_electrical,0,0,0,2.0,1,1,1,0,1,1,0,1,1,0,0,6.20050917404269
immo de france midi-pyrenees,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,548,CC,60.0,559.5,563.735,180.0,8.0,41.5,2,1,0,1,0,1,1,1,1,0,1.0,0,0,1,0,0,1,individual_electrical,1,0,0,2.0,0,0,1,1,1,0,0,0,0,0,0,6.3080984415095305
immo de france midi-pyrenees,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,767,CC,50.0,520.0,591.0,156.0,36.0,73.0,3,1,0,1,0,0,0,2,1,0,1.0,0,2,0,1,0,1,individual_gas,1,1,0,6.0,0,0,1,1,1,0,0,0,1,0,0,6.643789733147672
None,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,681,CC,80.0,423.0,601.0,287.0,16.0,53.0,2,1,0,1,0,1,0,1,1,0,1.0,1,0,1,1,0,1,individual_electrical,1,0,0,2.0,0,0,0,1,1,0,0,0,0,0,1,6.525029657843462
None,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,880,CC,90.0,897.0,800.0,161.5,11.0,69.0,3,0,0,1,0,0,0,2,0,0,1.0,0,1,0,1,0,1,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.78105762593618
credit agricole immobilier,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,500,CC,55.0,547.3,445.0,251.0,12.0,42.1,2,0,0,0,0,1,0,1,1,0,1.0,1,1,0,0,0,1,individual_gas,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,1,6.2166061010848646
midi transactions,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,550,CC,50.0,442.0,630.0,369.0,18.0,21.0,1,1,0,1,16,0,0,0,0,1,1.0,0,1,0,0,0,0,individual_electrical,0,0,0,5.0,0,0,1,1,0,1,0,0,1,0,0,6.311734809152915
sng extensia,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,667,CC,60.0,559.5,563.735,38.0,9.0,62.5,3,1,0,1,25,1,0,2,1,0,1.0,1,1,0,0,0,1,individual_gas,1,0,0,2.0,0,0,1,1,0,0,0,0,0,0,0,6.504288173536645
None,sector4,TOULOUSE EST,n4_1,Lapujade - Bonnefoy - Périole - Marengo - La Colonne,580,CC,70.0,484.0,510.0,134.0,31.0,41.0,2,1,0,1,0,1,1,1,0,1,1.0,1,0,1,0,0,1,individual_gas,1,0,0,1.0,0,1,0,1,1,0,0,0,0,0,0,6.364750756851911
cabinet du midi,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,825,CC,60.0,642.6,765.0,202.0,13.0,70.0,3,1,0,1,0,0,0,3,0,1,1.0,1,1,0,1,0,1,individual_electrical,0,0,0,10.0,0,0,1,1,0,1,0,0,0,0,0,6.716594773520978
sarl patrimoine avenue,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,790,CC,75.0,576.61,580.0,193.0,9.0,78.86,3,0,0,1,0,1,0,2,1,0,1.0,0,0,1,0,0,1,individual_electrical,1,0,0,2.0,0,0,0,0,0,0,0,0,0,0,1,6.673297967767654
louer1appart com,sector6,TOULOUSE OUEST,n6_4,Saint Simon - Lafourguette - Oncopole,482,CC,34.0,475.0,440.0,58.0,14.0,37.74,1,1,0,0,0,1,0,0,1,0,1.0,0,0,1,0,0,1,individual_gas,1,0,0,1.0,0,0,1,1,0,0,0,0,0,0,1,6.180016653652572
cabinet l'immeuble,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,680,CC,50.0,832.0,630.0,233.0,54.0,64.0,3,0,0,0,0,0,0,2,0,1,1.0,1,1,0,0,0,1,individual_gas,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.523562306149512
None,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,540,CC,40.0,566.66,500.0,202.0,10.0,43.59,2,0,0,0,0,0,0,1,0,0,1.0,0,0,1,0,0,0,individual_electrical,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.293419278846481
None,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,567,CC,80.0,507.78,487.0,161.5,11.0,39.06,2,1,0,1,0,1,0,1,1,0,1.0,1,1,1,0,0,1,individual_electrical,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,1,6.342121418721152
immo de france midi-pyrenees,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,980,CC,50.0,520.0,591.0,162.0,5.0,77.88,4,1,0,1,0,1,0,3,1,1,2.0,0,0,1,0,0,1,individual_electrical,1,0,0,5.0,0,0,1,1,1,0,0,0,1,0,0,6.8885724595653635
a2j immobilier,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,850,CC,65.0,534.0,1570.0,160.0,40.0,41.0,2,0,0,0,0,1,1,1,0,1,1.0,0,1,0,0,0,1,gas,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,6.7464121285733745
None,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,590,CC,0.0,250.25,550.0,184.5,13.0,38.5,2,0,0,0,0,1,0,1,1,0,1.0,0,0,0,1,0,0,gas,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,6.3818160174060985
midi transactions,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,762,CC,45.0,346.45,525.0,40.0,12.0,57.0,3,1,0,1,22,0,0,2,0,1,1.0,0,2,0,0,0,0,collective_gas,1,0,0,2.0,0,0,1,1,0,1,0,1,0,0,0,6.637258031284457
