agency,sector_no,sector_name,nbhd_no,nbhd_name,rent,charges,provisions,fees,deposit,energy_rating,gas_rating,area,rooms,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bedrooms,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,heating,parking,cellar,pool,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,view,caretaker,reduced_mobility,metro,tram,bus,logrent
square habitat,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,325,CC,50.0,246.86,275.0,36.0,10.0,19.22,1,0,0,0,0,0,0,0,0,1,1.0,0,1,0,0,0,0,individual_electrical,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,5.786897381366708
square habitat,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,459,CC,50.0,429.52,409.0,213.0,10.0,33.04,1,1,0,1,0,0,0,0,1,0,1.0,1,1,0,0,0,1,individual_electrical,1,0,1,1.0,0,0,0,0,0,0,1,0,0,0,0,6.131226489483141
square habitat,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,572,CC,50.0,1.0,522.0,139.0,11.0,42.3,2,0,0,1,0,1,0,1,1,0,1.0,1,1,1,0,0,1,individual_gas,1,0,0,3.0,0,0,1,0,0,0,0,0,0,0,1,6.35088571671474
square habitat,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,549,CC,50.0,550.81,498.54,223.0,10.0,42.37,2,1,0,1,0,0,1,1,1,0,1.0,1,1,0,0,0,1,individual_electrical,1,0,1,4.0,0,0,1,0,0,0,0,0,0,1,0,6.309918278226516
loft one,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,610,CC,70.0,475.77,472.0,193.0,2.0,43.0,2,1,0,1,0,0,0,1,1,0,1.0,0,0,0,1,0,1,individual_electrical,1,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,6.415096959171596
loft one,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,676,CC,50.0,770.9,633.0,184.5,13.0,59.0,3,0,0,0,0,0,1,2,1,0,1.0,1,0,0,1,0,1,gas,1,0,0,2.0,0,0,1,0,0,0,0,0,1,0,1,6.517671272912275
None,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,440,CC,50.0,338.0,390.5,195.0,8.0,26.0,1,1,0,1,0,1,0,0,1,0,1.0,0,0,0,1,0,1,individual_electrical,1,0,0,2.0,0,0,0,1,1,0,0,0,0,0,0,6.089044875446846
acantys immobilier,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,634,CC,85.0,539.0,549.0,37.0,8.0,49.0,2,1,0,1,23,0,0,1,1,0,1.0,0,0,1,0,0,1,gas,1,0,0,4.0,0,0,1,0,0,0,0,0,0,0,0,6.453624998892692
square habitat,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,504,CC,27.0,338.0,477.0,282.0,12.0,26.0,1,1,0,1,0,0,0,0,0,0,1.0,0,0,1,0,0,1,individual_electrical,1,0,0,3.0,0,0,1,0,0,0,0,0,1,1,0,6.22455842927536
credit agricole immobilier,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,566,CC,48.0,520.52,518.0,170.0,7.0,40.04,2,0,0,0,0,1,0,1,1,0,1.0,1,0,1,0,0,1,individual_electrical,0,0,1,2.0,0,0,0,1,0,0,0,0,1,0,1,6.340359303727752
