link,agency,sector_no,sector_name,nbhd_no,nbhd_name,rent,charges,fees,deposit,energy_rating,gas_rating,area,rooms,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bedrooms,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,heating,parking,cellar,pool,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,view,caretaker,reduced_mobility,metro,tram,bus
https://www.seloger.com/annonces/locations/appartement/toulouse-31/152899977.htm,plateforme de l'immobilier gestion,sector1,TOULOUSE CENTRE,n1_3,Les Chalets/Bayard/Belfort  Saint-Aubin/Dupuy,1850,CC,2340.0,1735.0,179.5,13.5,180.0,4,1,0,1,0,0,0,4,0,1,1.0,0,0,1,0,1,0,individual_gas,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/153352323.htm,ofi gestion,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,1650,CC,1105.0,1600.0,188.0,13.0,85.0,3,0,0,1,0,0,0,2,0,0,1.0,0,1,0,0,0,0,central,2,0,0,8.0,0,0,1,0,0,1,0,1,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/153494235.htm,agis immobilier,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,410,CC,328.0,390.0,313.0,16.0,20.0,1,1,0,0,0,1,0,0,0,1,1.0,0,1,0,1,0,1,individual_electrical,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/154054371.htm,agence du taur,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,990,CC,864.0,1920.0,188.0,13.0,45.0,3,1,0,0,0,1,0,2,0,1,1.0,1,0,0,0,0,0,individual_electrical,0,0,0,3.0,1,1,0,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/155390309.htm,capitole gestion,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,510,CC,414.33,460.37,54.0,13.0,44.75,2,1,0,1,0,0,0,1,0,1,1.0,0,0,1,0,0,1,individual_gas,1,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/155512949.htm,grand sud immobilier,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,658,CC,0.0,1216.0,241.0,11.0,34.0,2,1,0,0,0,1,0,1,1,0,1.0,1,0,0,0,0,1,individual_electrical,1,0,0,3.0,1,0,1,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/capitole/154432007.htm,arc immo transaction,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,515,CC,250.0,455.0,183.0,15.0,22.0,1,0,0,1,16,0,0,0,1,0,1.0,0,0,0,0,0,0,gas,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/minimes-barriere-de-paris/148932969.htm,None,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,765,CC,0.0,566.0,226.0,53.0,62.48,3,1,0,1,0,0,0,2,1,0,1.0,1,2,0,0,0,1,collective_gas,1,1,0,3.0,0,0,1,1,0,0,1,0,1,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/pont-des-demoiselles-montaudran-la-terrasse/151447017.htm,soprim,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,817,CC,624.0,605.0,116.0,4.0,81.0,4,0,0,1,24,0,0,3,1,0,1.0,1,1,1,0,0,1,individual_electrical,0,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/lalande-grand-selve/152067181.htm,tagerim gestion,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,715,CC,559.5,563.735,39.0,9.0,66.74,3,1,0,1,66,1,0,2,1,0,1.0,0,1,0,0,0,1,individual_gas,1,0,0,2.0,0,0,1,0,0,0,0,0,0,0,1
